  600 to run, 1 concurrent
  10/600  0.6m elapsed, ~0.6h left
  20/600  0.9m elapsed, ~0.4h left
  30/600  1.4m elapsed, ~0.4h left
  40/600  1.8m elapsed, ~0.4h left
  50/600  2.4m elapsed, ~0.4h left
  60/600  2.5m elapsed, ~0.4h left
  70/600  2.7m elapsed, ~0.3h left
  80/600  2.9m elapsed, ~0.3h left
  90/600  3.1m elapsed, ~0.3h left
  100/600  3.3m elapsed, ~0.3h left
  110/600  3.5m elapsed, ~0.3h left
  120/600  3.8m elapsed, ~0.3h left
  130/600  4.0m elapsed, ~0.2h left
  140/600  4.2m elapsed, ~0.2h left
  150/600  4.5m elapsed, ~0.2h left
  160/600  4.8m elapsed, ~0.2h left
  170/600  5.1m elapsed, ~0.2h left
  180/600  5.4m elapsed, ~0.2h left
  190/600  5.7m elapsed, ~0.2h left
  200/600  6.0m elapsed, ~0.2h left
  210/600  6.3m elapsed, ~0.2h left
  220/600  6.6m elapsed, ~0.2h left
  230/600  6.9m elapsed, ~0.2h left
  240/600  7.2m elapsed, ~0.2h left
  250/600  7.4m elapsed, ~0.2h left
  260/600  7.5m elapsed, ~0.2h left
  270/600  7.6m elapsed, ~0.2h left
  280/600  7.8m elapsed, ~0.1h left
  290/600  7.8m elapsed, ~0.1h left
  300/600  7.9m elapsed, ~0.1h left
  310/600  8.0m elapsed, ~0.1h left
  320/600  8.1m elapsed, ~0.1h left
  330/600  8.2m elapsed, ~0.1h left
  340/600  8.3m elapsed, ~0.1h left
  350/600  8.4m elapsed, ~0.1h left
  360/600  8.6m elapsed, ~0.1h left
  370/600  8.7m elapsed, ~0.1h left
  380/600  8.8m elapsed, ~0.1h left
  390/600  8.9m elapsed, ~0.1h left
  400/600  9.1m elapsed, ~0.1h left
  410/600  9.4m elapsed, ~0.1h left
  420/600  9.6m elapsed, ~0.1h left
  430/600  9.7m elapsed, ~0.1h left
  440/600  9.8m elapsed, ~0.1h left
  450/600  10.0m elapsed, ~0.1h left
  460/600  10.8m elapsed, ~0.1h left
  470/600  12.4m elapsed, ~0.1h left
  480/600  13.7m elapsed, ~0.1h left
  490/600  15.4m elapsed, ~0.1h left
  500/600  17.5m elapsed, ~0.1h left
  510/600  18.1m elapsed, ~0.1h left
  520/600  18.9m elapsed, ~0.0h left
  530/600  19.8m elapsed, ~0.0h left
  540/600  20.8m elapsed, ~0.0h left
  550/600  21.3m elapsed, ~0.0h left
  560/600  21.4m elapsed, ~0.0h left
  570/600  21.5m elapsed, ~0.0h left
  580/600  21.6m elapsed, ~0.0h left
  590/600  21.7m elapsed, ~0.0h left
  600/600  21.8m elapsed, ~0.0h left
saved -> /Volumes/Store/Developer/AER/local-ai-benchmarks/results/mac/b_glm47.json
