interval,seconds,prompt_tokens_per_s,computed_prompt_tokens_per_s,cached_prompt_tokens_per_s,generation_tokens_per_s,completed_requests,requests_per_min,spec_drafts,draft_tokens,accepted_draft_tokens,spec_token_acceptance,accepted_tokens_per_draft,prefix_cache_hit_rate,avg_ttft_s,p50_ttft_upper_s,p90_ttft_upper_s,avg_time_per_output_token_s,avg_completed_request_queue_s,preemptions,running_end,waiting_end,kv_usage_end,gpu_util_end_pct,power_end_w,temp_end_c,memory_available_end_gib,swap_used_end_gib,spec_position_1_acceptance,spec_position_2_acceptance,spec_position_3_acceptance
T0-T1,67.0,0.0,0.0,0.0,55.6865671641791,1.0,0.8955223880597015,1249.0,3747.0,2483.0,0.6626634641046171,1.987990392313851,,,,,0.0610849587647504,22.311181662997114,0.0,4.0,2.0,0.924901185770751,96.0,52.48,75.0,20.088069915771484,8.035972595214844,0.8014411529223379,0.6573258606885508,0.5292233787029623
T1-T2,69.0,567.7246376811594,567.7246376811594,0.0,12.028985507246377,1.0,0.8695652173913043,276.0,828.0,554.0,0.6690821256038647,2.0072463768115942,0.0,150.93820214271545,160.0,160.0,0.052022565404985954,117.69307499600109,0.0,4.0,2.0,0.9802371541501976,96.0,48.58,74.0,19.936511993408203,8.031974792480469,0.782608695652174,0.6485507246376812,0.5760869565217391
T0-T2,136.0,288.0367647058824,288.0367647058824,0.0,33.536764705882355,2.0,0.8823529411764706,1525.0,4575.0,3037.0,0.6638251366120218,1.9914754098360656,0.0,150.93820214271545,160.0,160.0,0.056553762084868175,70.0021283294991,0.0,4.0,2.0,0.9802371541501976,96.0,48.58,74.0,19.936511993408203,8.031974792480469,0.7980327868852459,0.6557377049180327,0.5377049180327869
