time	running	waiting
2026-08-31 02:14:47	2.0	0.0
2026-08-31 02:15:18	3.0	0.0
2026-08-31 02:15:48	2.0	0.0
2026-08-31 02:16:18	2.0	0.0
2026-08-31 02:16:48	2.0	0.0
2026-08-31 02:17:18	2.0	0.0
2026-08-31 02:17:48	3.0	0.0
2026-08-31 02:18:18	3.0	0.0
2026-08-31 02:18:48	3.0	0.0
2026-08-31 02:19:18	3.0	0.0
2026-08-31 02:19:48	3.0	0.0
2026-08-31 02:20:18	3.0	0.0
2026-08-31 02:20:48	2.0	0.0
2026-08-31 02:21:18	2.0	0.0
2026-08-31 02:21:48	2.0	0.0
2026-08-31 02:22:18	2.0	0.0
2026-08-31 02:22:49	3.0	0.0
2026-08-31 02:23:19	3.0	0.0
2026-08-31 02:23:49	3.0	0.0
2026-08-31 02:24:19	3.0	0.0
2026-08-31 02:24:49	3.0	0.0
2026-08-31 02:25:19	3.0	0.0
2026-08-31 02:25:49	3.0	0.0
2026-08-31 02:26:19	3.0	0.0
2026-08-31 02:26:49	2.0	0.0
2026-08-31 02:27:19	3.0	0.0
2026-08-31 02:27:49	3.0	0.0
2026-08-31 02:28:19	3.0	0.0
2026-08-31 02:28:49	3.0	0.0
2026-08-31 02:29:19	3.0	0.0
2026-08-31 02:29:49	3.0	0.0
2026-08-31 02:30:19	2.0	0.0
2026-08-31 02:30:49	3.0	0.0
2026-08-31 02:31:20	3.0	0.0
2026-08-31 02:31:50	2.0	0.0
2026-08-31 02:32:20	2.0	0.0
2026-08-31 02:32:50	2.0	0.0
2026-08-31 02:33:20	2.0	0.0
2026-08-31 02:33:50	3.0	0.0
2026-08-31 02:34:20	2.0	0.0
2026-08-31 02:34:50	3.0	0.0
2026-08-31 02:35:20	1.0	0.0
2026-08-31 02:35:50	3.0	0.0
2026-08-31 02:36:20	2.0	0.0
2026-08-31 02:36:50	3.0	0.0
2026-08-31 02:37:20	3.0	0.0
2026-08-31 02:37:50	3.0	0.0
2026-08-31 02:38:20	3.0	0.0
2026-08-31 02:38:50	3.0	0.0
