time	running	waiting
2026-08-31 12:12:02	0.0	0.0
2026-08-31 12:12:32	1.0	0.0
2026-08-31 12:13:02	1.0	0.0
2026-08-31 12:13:32	1.0	0.0
2026-08-31 12:14:02	1.0	0.0
2026-08-31 12:14:32	1.0	0.0
2026-08-31 12:15:02	1.0	0.0
2026-08-31 12:15:32	2.0	0.0
2026-08-31 12:16:02	2.0	0.0
2026-08-31 12:16:32	2.0	0.0
2026-08-31 12:17:02	2.0	0.0
2026-08-31 12:17:32	1.0	0.0
2026-08-31 12:18:02	1.0	0.0
2026-08-31 12:18:32	2.0	0.0
2026-08-31 12:19:02	1.0	0.0
2026-08-31 12:19:32	1.0	0.0
2026-08-31 12:20:03	1.0	0.0
2026-08-31 12:20:33	1.0	0.0
2026-08-31 12:21:03	1.0	0.0
2026-08-31 12:21:33	1.0	0.0
2026-08-31 12:22:03	0.0	0.0
2026-08-31 12:22:33	1.0	0.0
2026-08-31 12:23:03	1.0	0.0
2026-08-31 12:23:33	1.0	0.0
2026-08-31 12:24:03	1.0	0.0
2026-08-31 12:24:33	1.0	0.0
2026-08-31 12:25:03	1.0	0.0
2026-08-31 12:25:33	1.0	0.0
2026-08-31 12:26:03	1.0	0.0
2026-08-31 12:26:33	1.0	0.0
2026-08-31 12:27:03	1.0	0.0
2026-08-31 12:27:33	1.0	0.0
2026-08-31 12:28:03	1.0	0.0
2026-08-31 12:28:33	1.0	0.0
2026-08-31 12:29:03	1.0	0.0
2026-08-31 12:29:34	1.0	0.0
2026-08-31 12:30:04	1.0	0.0
2026-08-31 12:30:34	1.0	0.0
2026-08-31 12:31:04	1.0	0.0
2026-08-31 12:31:34	1.0	0.0
2026-08-31 12:32:04	2.0	0.0
2026-08-31 12:32:34	2.0	0.0
2026-08-31 12:33:04	1.0	0.0
2026-08-31 12:33:34	1.0	0.0
2026-08-31 12:34:04	1.0	0.0
2026-08-31 12:34:34	1.0	0.0
2026-08-31 12:35:04	1.0	0.0
2026-08-31 12:35:34	1.0	0.0
2026-08-31 12:36:04	1.0	0.0
2026-08-31 12:36:34	1.0	0.0
2026-08-31 12:37:04	1.0	0.0
2026-08-31 12:37:34	1.0	0.0
2026-08-31 12:38:05	1.0	0.0
2026-08-31 12:38:35	1.0	0.0
2026-08-31 12:39:05	1.0	0.0
2026-08-31 12:39:35	2.0	0.0
2026-08-31 12:40:05	2.0	0.0
2026-08-31 12:40:35	2.0	0.0
2026-08-31 12:41:05	2.0	0.0
2026-08-31 12:41:35	2.0	0.0
2026-08-31 12:42:05	2.0	0.0
2026-08-31 12:42:35	2.0	0.0
2026-08-31 12:43:05	1.0	0.0
2026-08-31 12:43:35	1.0	0.0
2026-08-31 12:44:05	1.0	0.0
2026-08-31 12:44:35	1.0	0.0
2026-08-31 12:45:05	1.0	0.0
2026-08-31 12:45:35	1.0	0.0
2026-08-31 12:46:05	1.0	0.0
2026-08-31 12:46:35	1.0	0.0
2026-08-31 12:47:06	1.0	0.0
2026-08-31 12:47:36	1.0	0.0
2026-08-31 12:48:06	1.0	0.0
2026-08-31 12:48:36	1.0	0.0
2026-08-31 12:49:06	1.0	0.0
2026-08-31 12:49:36	1.0	0.0
2026-08-31 12:50:06	2.0	0.0
2026-08-31 12:50:36	2.0	0.0
2026-08-31 12:51:06	2.0	0.0
2026-08-31 12:51:36	2.0	0.0
2026-08-31 12:52:06	1.0	0.0
2026-08-31 12:52:36	2.0	0.0
2026-08-31 12:53:06	1.0	0.0
2026-08-31 12:53:36	1.0	0.0
2026-08-31 12:54:06	1.0	0.0
2026-08-31 12:54:36	1.0	0.0
2026-08-31 12:55:06	2.0	0.0
2026-08-31 12:55:36	2.0	0.0
2026-08-31 12:56:07	2.0	0.0
2026-08-31 12:56:37	2.0	0.0
2026-08-31 12:57:07	2.0	0.0
2026-08-31 12:57:37	2.0	0.0
2026-08-31 12:58:07	2.0	0.0
2026-08-31 12:58:37	2.0	0.0
